Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Flathead Electric Cooperative - New and Manufactured Home Incentive Program,MT,Financial Incentive,Rebate Program,09/15/2006,03/18/2025
Flathead Electric Cooperative - Commercial Incentive Programs,MT,Financial Incentive,Rebate Program,09/15/2006,03/18/2025
Yellowstone Valley Electric Cooperative - Residential/Commercial Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,04/04/2007,04/03/2025
Alternative Energy Investment Tax Credit,MT,Financial Incentive,Industry Recruitment/Support,07/29/2001,07/18/2021
Property Tax Abatement for Production and Manufacturing Facilities,MT,Financial Incentive,Industry Recruitment/Support,06/01/2007,07/14/2021
Energy Efficiency Standards for State Buildings,MT,Regulatory Policy,Energy Standards for Public Buildings,04/27/2009,03/12/2024
Montana-Dakota Utilities - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,01/19/2010,06/17/2025
Montana-Dakota Utilities - Commercial Energy Efficiency Incentive Program,MT,Financial Incentive,Rebate Program,01/19/2010,06/17/2025
NorthWestern Energy (Gas) - Commercial Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,06/23/2006,07/21/2025
Net Metering,MT,Regulatory Policy,Net Metering,03/06/2023,02/24/2025
Montana Commercial PACE Financing Program,MT,Financial Incentive,PACE Financing,06/17/2024,06/18/2024
Montana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MT,Financial Incentive,Grant Program,06/18/2024,06/25/2024
Yellowstone Valley Electric Cooperative - Solar Stock Watering System Rebate,MT,Financial Incentive,Rebate Program,09/17/2024,09/18/2025
Active Solar Heating and Cooling Systems Exemption,NC,Financial Incentive,Property Tax Incentive,01/01/2000,11/17/2025
Interconnection Standards,NC,Regulatory Policy,Interconnection,04/19/2005,06/07/2024
Town of Chapel Hill - Energy Conservation Requirements for Town Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,01/01/2000,06/20/2024
Town of Chapel Hill - Land-Use Management Ordinances,NC,Regulatory Policy,Solar/Wind Access Policy,08/11/2004,10/30/2023
Net Metering,NC,Regulatory Policy,Net Metering,10/26/2005,02/28/2025
Building Energy Code,NC,Regulatory Policy,Building Energy Code,07/19/2006,01/31/2024
City of New Bern Electric Department - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,08/21/2006,07/25/2025
City of Statesville Electric Utility Department - Residential and Commercial Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,08/21/2006,07/25/2025
Union Power Cooperative - Residential Energy Efficient Loan Program,NC,Financial Incentive,Loan Program,09/05/2006,08/25/2025
Piedmont EMC - Rate Discount for Energy Star Homes,NC,Financial Incentive,Utility Rate Discount,09/05/2006,05/14/2024
Piedmont EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,09/05/2006,02/06/2025
Lumbee River EMC - Residential Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,09/05/2006,10/28/2025
Carteret-Craven Electric Cooperative - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,09/05/2006,10/30/2025
Tideland EMC - Weatherization Loan Program,NC,Financial Incentive,Loan Program,03/15/2007,05/13/2024
North Carolina Solar Rights,NC,Regulatory Policy,Solar/Wind Access Policy,07/31/2007,11/14/2023
Clean Energy and Energy Efficiency Portfolio Standard,NC,Regulatory Policy,Renewables Portfolio Standard,08/06/2007,01/29/2025
Conservation of Energy and Water Use in State Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,09/05/2007,06/20/2024
Ashe County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,10/31/2007,08/15/2023
Watauga County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,11/01/2007,08/11/2023
City of Asheville - Efficiency Standards for City Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,04/26/2007,06/10/2024
Town of Kill Devil Hills - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,02/04/2008,08/15/2023
Property Tax Abatement for Solar Electric Systems,NC,Financial Incentive,Property Tax Incentive,08/11/2008,03/21/2025
Model Wind Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,08/28/2008,08/11/2023
Durham County - High-Performance Building Policy,NC,Regulatory Policy,Energy Standards for Public Buildings,12/09/2008,06/20/2024
Four-County EMC - Residential Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,03/27/2009,10/28/2025
Four-County EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,03/27/2009,05/23/2024
South River EMC - Solar Water Heating Rebate Program,NC,Financial Incentive,Rebate Program,04/20/2009,02/06/2025
Tyrrell County - Wind Energy Facility Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,05/07/2009,07/22/2024
Hyde County - Wind Energy Facility Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,05/07/2009,08/15/2023
Duke Energy Carolinas - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,06/20/2009,10/16/2025
Duke Energy - Non-Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,06/20/2009,10/08/2024
Lumbee River EMC - Residential Energy Efficiency Program,NC,Financial Incentive,Rebate Program,06/21/2009,10/17/2025
SystemVision Energy Guarantee Program,NC,Financial Incentive,Rebate Program,07/15/2009,05/16/2025
Haywood EMC - Residential Heat Pump and Weatherization Loan Program,NC,Financial Incentive,Loan Program,08/10/2009,08/25/2025
City of High Point Electric - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,08/20/2009,07/29/2025
Dominion Energy (Gas) - Energy-Efficient Appliance Rebate Program,NC,Financial Incentive,Rebate Program,10/02/2009,10/14/2025
South River EMC - Energy Efficient New Homes Rebate Program,NC,Financial Incentive,Rebate Program,12/07/2009,05/06/2024
South River EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,12/17/2009,10/20/2025
Carteret County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,01/11/2010,08/11/2023
Pitt County - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,04/08/2010,08/11/2023
Piedmont Natural Gas - Residential Equipment Efficiency Program,NC,Financial Incentive,Rebate Program,05/06/2010,07/28/2025
Piedmont Natural Gas - Commercial Equipment Efficiency Program,NC,Financial Incentive,Rebate Program,05/06/2010,07/28/2025
Madison County - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,09/09/2010,06/27/2024
Piedmont EMC - Residential Home Upgrade Loan Program,NC,Financial Incentive,Loan Program,01/12/2011,08/25/2025
Town of Carrboro - Worthwhile Investments Save Energy (WISE) Homes and Buildings Program,NC,Financial Incentive,Loan Program,01/21/2011,05/16/2025
City of Concord Electric Department - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,04/09/2012,07/25/2025
Jones-Onslow EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,08/02/2012,07/28/2025
Wind Energy Permitting Standards,NC,Regulatory Policy,Solar/Wind Permitting Standards,06/18/2013,08/11/2023
Template Solar Energy Development Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,01/09/2014,08/11/2023
TVA - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,03/05/2015,09/10/2025
Blue Ridge EMC - Net Metering,NC,Regulatory Policy,Net Metering,12/17/2015,05/22/2025
EnergyUnited (Electric) - Residential Energy Efficiency Program,NC,Financial Incentive,Rebate Program,06/11/2019,05/30/2024
EnergyUnited Commercial Lighting Program,NC,Financial Incentive,Rebate Program,06/11/2019,02/06/2025
TVA - Commercial Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,06/02/2020,09/12/2025
Clean Fuel Advanced Technology (CFAT) Project,NC,Financial Incentive,Grant Program,06/11/2021,05/16/2025
Cape Hatteras Electric Cooperative - ChargePoint Electric Vehicle Charger Residential Rebate,NC,Financial Incentive,Rebate Program,09/05/2021,05/16/2025
Randolph EMC - ElecTel Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,06/06/2022,07/28/2025
North Carolina Community Solar Rules,NC,Regulatory Policy,Community Solar Rules,06/24/2022,05/22/2025
Energy United - Residential Heat Pump Rebate,NC,Financial Incentive,Rebate Program,06/02/2023,02/20/2025
Duke Energy - PowerPair,NC,Financial Incentive,Rebate Program,05/09/2024,06/19/2025
Duke Energy - Improve & Save,NC,Financial Incentive,Loan Program,05/10/2024,05/10/2024
Offshore Wind Energy Goal,NC,Regulatory Policy,Offshore Wind Energy Target,05/24/2024,05/28/2024
North Carolina - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,NC,Financial Incentive,Grant Program,06/21/2024,06/21/2024
Local Option - Commercial Property Assessed Capital Expenditure (C-PACE),NC,Financial Incentive,PACE Financing,07/12/2024,07/12/2024
City of Charlotte - Green Building Policy for Municipal Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,07/16/2024,07/16/2024
North Carolina - Home Electrification and Appliance Rebate (HEAR) Program,NC,Financial Incentive,Rebate Program,01/16/2025,01/16/2025
North Carolina - Home Efficiency Rebate (HER) Program,NC,Financial Incentive,Rebate Program,01/16/2025,01/16/2025
North Dakota Solar/Wind Easements and Laws,ND,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,12/19/2023
Renewable Energy Property Tax Exemption,ND,Financial Incentive,Property Tax Incentive,01/01/2000,10/08/2025
Net Metering,ND,Regulatory Policy,Net Metering,01/01/2000,02/24/2025
Building Energy Code,ND,Regulatory Policy,Building Energy Code,08/02/2006,05/23/2023
Northern Plains EC - Commercial Energy Efficiency Loan Program,ND,Financial Incentive,Loan Program,03/15/2007,08/20/2024
Renewable and Recycled Energy Objective,ND,Regulatory Policy,Renewables Portfolio Standard,08/24/2007,11/26/2024
Otter Tail Power Company - Energy Efficiency Rebate Program,ND,Financial Incentive,Rebate Program,11/17/2008,10/27/2025
Xcel Energy - Residential Energy Efficiency Rebate Programs,ND,Financial Incentive,Rebate Program,06/12/2006,06/16/2025
Sales and Use Tax Exemption for Electrical Generating Facilities,ND,Financial Incentive,Sales Tax Incentive,09/01/2011,12/09/2024
Sales Tax Exemption for Hydrogen Generation Facilities,ND,Financial Incentive,Sales Tax Incentive,09/01/2011,12/04/2024
Sales and Use Tax Exemption for Gas Processing Facilities,ND,Financial Incentive,Sales Tax Incentive,09/01/2011,12/04/2024
Residential Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,02/03/2012,09/18/2025
Business Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,02/03/2012,02/20/2025
Commercial Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,11/14/2023,09/26/2025
Interconnection Standards,ND,Regulatory Policy,Interconnection,06/10/2024,06/10/2024
North Dakota - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,ND,Financial Incentive,Grant Program,06/18/2024,06/25/2024
Dollar and Energy Savings Loans,NE,Financial Incentive,Loan Program,01/01/2000,07/29/2025
Nebraska Solar and Wind Easements,NE,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,11/05/2023
Building Energy Code,NE,Regulatory Policy,Building Energy Code,08/02/2006,04/28/2023
Sales and Use Tax Exemption for Community Renewable Energy Projects,NE,Financial Incentive,Sales Tax Incentive,05/31/2007,09/26/2025
Nebraska Public Power District - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,03/31/2009,03/28/2025
Nebraska Public Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,04/01/2009,02/18/2025
Lincoln Electric System - Sustainable Energy Program,NE,Financial Incentive,Rebate Program,04/06/2009,07/08/2025
Net Metering,NE,Regulatory Policy,Net Metering,05/19/2009,03/10/2025
Interconnection Guidelines,NE,Regulatory Policy,Interconnection,05/19/2009,06/10/2024
Southern Power District - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,08/20/2009,02/17/2025
MidAmerican Energy (Gas) - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,06/03/2010,05/06/2024
Property Tax Exemption for Renewable Energy Generation Facilities,NE,Financial Incentive,Property Tax Incentive,08/03/2011,09/26/2025
Sales and Use Tax Exemption for Renewable Energy Property,NE,Financial Incentive,Sales Tax Incentive,07/12/2013,12/10/2024
Local Option - Property-Assessed Clean Energy Financing,NE,Financial Incentive,PACE Financing,04/01/2016,12/27/2023
Omaha City - Wind Energy Conservation System Requirements,NE,Regulatory Policy,Solar/Wind Permitting Standards,11/15/2016,08/16/2023
Southern Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,08/02/2018,02/17/2025
Southern Public Power District - Electric Vehicle Incentives,NE,Financial Incentive,Rebate Program,08/20/2021,06/09/2025
Nebraska Public Power District - Go EV,NE,Financial Incentive,Rebate Program,06/21/2022,06/11/2025
Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,NH,Financial Incentive,Property Tax Incentive,01/01/2000,11/20/2025
Unitil (Electric) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,04/18/2006,03/14/2025
Building Energy Code,NH,Regulatory Policy,Building Energy Code,07/27/2006,05/23/2023
Building Requirements for State-Funded Buildings,NH,Regulatory Policy,Energy Standards for Public Buildings,07/30/2006,07/05/2024
New Hampshire Electric Co-op - Commercial and Municipal Retrofit Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,09/15/2006,07/18/2025
New Hampshire Electric Co-op - Commercial and Municipal New Equipment and Construction Program,NH,Financial Incentive,Rebate Program,09/15/2006,09/19/2025
System Benefits Charge,NH,Regulatory Policy,Public Benefits Fund,09/25/2006,01/18/2024
Renewable Portfolio Standard,NH,Regulatory Policy,Renewables Portfolio Standard,05/14/2007,11/20/2025
Residential Bulk-Fed Wood-Pellet Central Boilers and Furnace Rebate Program,NH,Financial Incentive,Rebate Program,07/13/2010,05/30/2025
Local Option - Energy Efficiency & Clean Energy Districts,NH,Financial Incentive,PACE Financing,07/15/2010,01/16/2024
Commercial & Industrial Solar Rebate Program,NH,Financial Incentive,Rebate Program,11/22/2010,05/30/2025
Liberty Utilities (Electric) - Commercial Energy Efficiency Loan Program,NH,Financial Incentive,Loan Program,10/13/2015,07/30/2025
Energy Efficiency Resource Standard,NH,Regulatory Policy,Energy Efficiency Resource Standard,10/06/2016,06/23/2025
Liberty Utilities (Gas) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,05/14/2019,06/26/2025
New Hampshire Electric Cooperative - Electric Vehicle Rebates,NH,Financial Incentive,Rebate Program,08/20/2021,11/20/2025
New Hampshire Community Solar Rules,NH,Regulatory Policy,Community Solar Rules,06/22/2022,03/04/2025
Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program,NH,Financial Incentive,Rebate Program,02/28/2023,05/30/2025
